date,nalipAll
2022-03-12,0.4199090449722082
2022-03-13,0.21728145528044468
2022-03-14,0.6013137948458818
2022-03-15,0.15866599292572006
2022-03-16,0.13542193026781202
2022-03-17,0.3006568974229409
2022-03-18,0.3754421424962102
2022-03-19,0.42091965639211726
2022-03-20,0.5452248610409297
2022-03-21,0.7261243052046488
2022-03-22,1.0
2022-03-23,0.6467913087417888
2022-03-24,0.29105608893380497
2022-03-25,0.27993936331480546
2022-03-26,0.3198585144012127
2022-03-27,0.3567458312278929
2022-03-28,0.314300151591713
2022-03-29,0.4421424962102072
2022-03-30,0.503789792824659
2022-04-01,0.7801920161697827
2022-04-02,0.36533602829711975
2022-04-03,0.2900454775138959
2022-04-04,0.30520464881253156
2022-04-05,0.4128347650328449
2022-04-06,0.3870641738251642
2022-04-07,0.23951490651844365
2022-04-08,0.07579585649317837
2022-04-09,0.08842849924204144
2022-04-10,0.05154118241536129
2022-04-11,0.040929762506316324
2022-04-12,0.08741788782213239
2022-04-13,0.14401212733703891
2022-04-14,0.0697321879737241
2022-04-15,0.07933299646286003
2022-04-16,0.06316321374431531
2022-04-17,0.07276402223345124
2022-04-18,0.03739262253663466
2022-04-19,0.06316321374431531
2022-04-20,0.04446690247599798
2022-04-21,0.026781202627589692
2022-04-22,0.0651844365841334
2022-04-23,0.022738756947953513
2022-04-24,0.03739262253663466
2022-04-25,0.017180394138453764
2022-04-26,0.023244062657908033
2022-04-27,0.02627589691763517
2022-04-28,0.017180394138453764
2022-04-29,0.009600808489135927
2022-04-30,0.00808489135927236
2022-05-01,0.015159171298635674
2022-05-02,0.0
2022-05-03,0.0015159171298635675
2022-05-04,0.0015159171298635675
2022-05-05,0.001010611419909045
2022-05-06,0.0015159171298635675
2022-05-07,0.0015159171298635675
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
