date,all
2022-03-12,0.2283546952654983
2022-03-13,0.11326183625425058
2022-03-14,0.3120585927282239
2022-03-15,0.08291917342401256
2022-03-16,0.07140988752288778
2022-03-17,0.15563693434475542
2022-03-18,0.19461156160083704
2022-03-19,0.21867643212137064
2022-03-20,0.28250065393669893
2022-03-21,0.37588281454355216
2022-03-22,0.5176562908710437
2022-03-23,0.4009939837823699
2022-03-24,0.22652367250850117
2022-03-25,0.2503269683494638
2022-03-26,0.29505623855610774
2022-03-27,0.27099136803557416
2022-03-28,0.24378760136018834
2022-03-29,0.3199058331153544
2022-03-30,0.3711744703112739
2022-04-01,0.6377190687941408
2022-04-02,1.0
2022-04-03,0.7637980643473712
2022-04-04,0.507454878367774
2022-04-05,0.6536751242479728
2022-04-06,0.5725869735809573
2022-04-07,0.5302118754904526
2022-04-08,0.208736594297672
2022-04-09,0.22966256866335338
2022-04-10,0.2210306042375098
2022-04-11,0.1702851164007324
2022-04-12,0.25477373790217106
2022-04-13,0.2369866596913419
2022-04-14,0.11404656029296364
2022-04-15,0.14752811927805387
2022-04-16,0.1611300026157468
2022-04-17,0.12869474234894063
2022-04-18,0.11483128433167669
2022-04-19,0.09625948208213445
2022-04-20,0.08396547214229663
2022-04-21,0.06905571540674862
2022-04-22,0.08291917342401256
2022-04-23,0.04499084488621501
2022-04-24,0.04263667277007586
2022-04-25,0.03217368558723516
2022-04-26,0.029296364111953962
2022-04-27,0.03688202981951347
2022-04-28,0.01909495160868428
2022-04-29,0.012555584619408842
2022-04-30,0.010201412503269683
2022-05-01,0.011247711221553753
2022-05-02,0.0052314935914203504
2022-05-03,0.010201412503269683
2022-05-04,0.005493068270991368
2022-05-05,0.002877321475281193
2022-05-06,0.006016217630133403
2022-05-07,0.005493068270991368
2022-05-08,0.0007847240387130526
2022-05-09,0.0015694480774261052
2022-05-10,0.0007847240387130526
2022-05-11,0.0002615746795710175
2022-05-12,0.0
